Date,Mkt-RF,SMB,HML,RMW,CMA,RF
20220615,1.55,-0.01,-1.68,-0.21,-1.14,0.003
20220616,-3.52,-1.08,0,0.6,-0.64,0.003
20220617,0.46,0.73,-2.63,0.38,-2.02,0.003
20220621,2.38,-0.84,0.26,-0.91,0,0.003
20220622,-0.19,0.04,-1.79,0.63,-1.61,0.003
20220623,1.13,0.32,-3.87,0.5,-1.88,0.003
20220624,3.11,-0.42,-0.03,0.11,-0.33,0.003
20220627,-0.28,0.76,1.26,-0.3,1.29,0.003
20220628,-2.09,0.04,2.36,-0.7,1.3,0.003
20220629,-0.2,-0.58,-1.32,1.09,-0.86,0.003
20220630,-0.96,0.51,-0.15,0.9,-0.16,0.003
20220701,1.14,-0.02,0.11,-0.75,-0.07,0.004
20220705,0.48,1.12,-3.35,-1.74,-2.15,0.004
20220706,0.17,-0.89,-0.73,0.05,-0.31,0.004
20220707,1.77,0.89,-0.96,-0.84,-1.32,0.004
20220708,-0.07,0.07,-0.07,-0.25,-0.21,0.004
20220711,-1.39,-0.99,1.59,1.71,1.26,0.004
20220712,-0.88,0.85,0.52,0.1,0.83,0.004
20220713,-0.39,0.43,-0.38,0.04,-0.33,0.004
20220714,-0.41,-0.47,-1.01,0.78,-0.03,0.004
20220715,1.95,0.04,0.46,-0.22,-0.39,0.004
20220718,-0.71,0.37,1.02,0.14,-0.09,0.004
20220719,2.81,0.84,-0.54,-0.27,-0.59,0.004
20220720,0.89,1.08,-1.31,-1.48,-1.49,0.004
20220721,0.97,-0.33,-1.6,-0.25,-0.89,0.004
20220722,-1.19,-0.84,1.38,1.74,1.52,0.004
20220725,0.12,0.1,1.68,0.65,0.52,0.004
20220726,-1.32,0.34,1.06,0.57,1.16,0.004
20220727,2.72,0.16,-1.26,-0.2,-1.34,0.004
20220728,1.19,-0.04,-0.86,0.15,-0.88,0.004
20220729,1.45,-0.88,0.45,0.48,-1.17,0.004
20220801,-0.19,0.18,-0.26,0.17,0.35,0.008
20220802,-0.49,0.58,-1.4,-2.18,-0.46,0.008
20220803,1.67,0.28,-1.93,-1.49,-0.71,0.008
20220804,-0.06,0.41,-1.65,-1.3,-0.86,0.008
20220805,-0.04,0.94,-0.06,-1.27,-0.22,0.008
20220808,0,0.97,-0.08,-0.44,0.21,0.008
20220809,-0.68,-1.37,2.11,0.87,1.3,0.008
20220810,2.36,0.77,-1.59,-1.38,-1.36,0.008
20220811,-0.07,0.21,1.65,0.74,0.9,0.008
20220812,1.76,0.49,-0.73,-0.65,-0.53,0.008
20220815,0.38,-0.02,-0.62,-0.18,-0.01,0.008
20220816,0.19,-0.14,0.71,1.03,0.52,0.008
20220817,-0.93,-0.92,1.04,1.27,0.67,0.008
20220818,0.27,0.35,0.47,0.79,0.08,0.008
20220819,-1.5,-0.94,0.96,1.06,1.25,0.008
20220822,-2.14,-0.04,0.37,0.2,0.2,0.008
20220823,-0.11,0.11,0.33,-0.36,-0.19,0.008
20220824,0.4,0.52,-0.61,-1.43,-0.48,0.008
20220825,1.45,0.12,-0.01,0.15,-0.38,0.008
20220826,-3.37,-0.27,1.68,0.22,0.85,0.008
20220829,-0.72,-0.39,0.43,0.26,0.43,0.008
20220830,-1.11,-0.38,-0.24,-0.24,0.12,0.008
20220831,-0.74,0.23,-0.45,-0.62,-0.13,0.008
20220901,-0.01,-1.04,-0.3,0.62,0.55,0.009
20220902,-0.99,0.11,1.06,-0.06,0.27,0.009
20220906,-0.51,-0.54,-0.52,-0.17,-0.7,0.009
20220907,1.92,0.41,-1.53,-1.3,-0.54,0.009
20220908,0.78,-0.15,-0.2,-1.29,-1.01,0.009
20220909,1.67,0.38,-0.51,-0.1,-0.49,0.009
20220912,1.07,0.25,-0.17,-0.13,-0.13,0.009
20220913,-4.29,0.05,1.44,-0.31,0.9,0.009
20220914,0.45,-0.19,-0.28,-0.73,-0.42,0.009
20220915,-1.03,0.39,0.54,-0.36,0.24,0.009
20220916,-0.99,-0.75,0.85,1.69,0.95,0.009
20220919,0.72,-0.07,0.67,0.61,-0.07,0.009
20220920,-1.16,-0.3,0.04,-0.12,0.33,0.009
20220921,-1.68,0.33,0.08,0.38,0.1,0.009
20220922,-1.14,-1.16,0.41,1.16,0.9,0.009
20220923,-1.85,-0.47,-0.81,0.18,-0.26,0.009
20220926,-1.02,-0.05,-0.75,0.17,-0.42,0.009
20220927,-0.05,0.58,-0.93,-0.62,-0.9,0.009
20220928,2.15,0.92,-0.33,-0.86,-0.71,0.009
20220929,-2.17,-0.28,0.86,0.43,0.5,0.009
20220930,-1.42,0.59,0.26,-0.66,-0.09,0.009
20221003,2.55,0.01,0.69,0.9,0.37,0.011
20221004,3.3,0.72,-0.06,-1.04,-0.29,0.011
20221005,-0.22,-0.37,0.06,0.35,0.16,0.011
20221006,-0.86,0.46,0.13,-0.12,-0.46,0.011
20221007,-2.91,-0.23,1.68,0.97,1.46,0.011
20221010,-0.81,0.24,0.76,1.52,0.4,0.011
20221011,-0.7,0.61,0.32,0.57,0.64,0.011
20221012,-0.28,0.02,0.02,-0.02,0,0.011
20221013,2.4,-0.26,1.57,0.54,0.96,0.011
20221014,-2.46,-0.21,1.2,0.53,1.57,0.011
20221017,2.74,0.38,-1.42,-1.01,-1.19,0.011
20221018,1.19,-0.13,0.01,-0.43,0.03,0.011
20221019,-0.87,-1.2,1.21,0.69,0.78,0.011
20221020,-0.8,-0.33,-0.43,-0.61,0.11,0.011
20221021,2.3,-0.05,0.11,0.61,-0.22,0.011
20221024,1.03,-0.63,0.45,1.16,0.49,0.011
20221025,1.78,1.02,-1.52,-1.18,-1.24,0.011
20221026,-0.66,0.7,0.89,-0.8,0.68,0.011
20221027,-0.54,0.43,1.09,-0.37,0.51,0.011
20221028,2.32,0.05,-0.34,0.38,0.62,0.011
20221031,-0.67,0.47,0.75,-0.21,0.49,0.011
20221101,-0.35,0.44,0.78,-0.03,0.4,0.014
20221102,-2.67,-0.87,1.6,0.21,1.05,0.014
20221103,-1.03,0.39,0.32,-0.15,0.06,0.014
20221104,1.16,-0.26,1.28,2.18,0.62,0.014
20221107,0.87,-0.34,0.61,1.06,0.95,0.014
20221108,0.5,-0.55,-0.36,-0.19,0.06,0.014
20221109,-2.25,-0.51,0.55,0.94,1.07,0.014
20221110,5.68,1.01,-3.1,-0.65,-2.74,0.014
20221111,1.07,0.17,-1.07,-0.88,-1.14,0.014
20221114,-0.95,-0.25,0.27,0.54,0.43,0.014
20221115,1.03,0.46,-0.71,-0.49,-0.51,0.014
20221116,-1.04,-1.07,0.56,1.19,0.92,0.014
20221117,-0.42,-0.29,0.58,1.37,0.75,0.014
20221118,0.4,-0.09,0.09,0.4,0.62,0.014
20221121,-0.53,-0.21,0.99,0.48,1.1,0.014
20221122,1.36,-0.38,0.43,0.72,-0.23,0.014
20221123,0.63,-0.24,-0.94,-0.74,-0.57,0.014
